supplier,sku,name,recommended_qty,urgency,naive_qty,base_demand,restored_demand,season_factor,trend_factor,excluded_outlier,stock,in_transit,lead_time_days
SUP-03,A-500,Щит распределительный ЩРН-24,49.0,high,120.0,48.333333333333336,48.333333333333336,1.0344827586206895,1.0,1500.0,10.0,0.0,21
SUP-03,A-400,Автомат ВА47-29 3P 25А,117.0,high,104.0,84.45833333333333,90.29166666666667,1.0287610619469025,1.0,0,20.0,0.0,30
SUP-03,A-200,Удлинитель садовый 20 м IP44,209.0,high,93.0,80.0,80.0,1.7375,1.0,0,45.0,20.0,45
SUP-03,A-1100,УЗО 2P 40А 30мА,38.0,high,28.0,35.833333333333336,35.833333333333336,1.1860465116279069,1.0,0,25.0,0.0,30
SUP-03,A-1000,Автомат ВА47-29 1P 16А,34.0,medium,35.0,80.75,80.75,0.9969040247678018,1.0,0,60.0,0.0,21
SUP-03,A-1200,Щит ЩРН-12,10.0,medium,12.0,25.291666666666668,25.291666666666668,0.929159802306425,1.0,0,18.0,0.0,21
SUP-02,A-300,Светильник LED 36 Вт IP65,79.0,high,64.0,67.5,67.5,0.882144874094087,1.3,0,35.0,0.0,30
SUP-02,A-800,Прожектор LED 50 Вт IP65,29.0,high,31.0,38.041666666666664,38.041666666666664,0.95947426067908,1.0,0,25.0,0.0,30
SUP-02,A-900,Лампа LED E27 11 Вт,45.0,medium,51.0,112.25,112.25,0.9532293986636972,1.0,0,80.0,0.0,21
SUP-01,A-100,ВВГнг-LS 3x2.5 бухта 100 м,89.0,high,90.0,98.58333333333333,98.58333333333333,0.9940828402366865,1.0,0,55.0,0.0,30
SUP-01,A-600,ВВГнг-LS 3x1.5 бухта 100 м,65.0,high,69.0,74.08333333333333,74.08333333333333,0.9583802024746907,1.0,0,40.0,0.0,30
SUP-01,A-700,ПВС 2x1.5 бухта 100 м,50.0,high,42.0,52.458333333333336,52.458333333333336,1.096108022239873,1.0,0,35.0,0.0,30
