sku,month,is_stockout
A-100,2024-10,false
A-100,2024-11,false
A-100,2024-12,false
A-100,2025-01,false
A-100,2025-02,false
A-100,2025-03,false
A-100,2025-04,false
A-100,2025-05,false
A-100,2025-06,false
A-100,2025-07,false
A-100,2025-08,false
A-100,2025-09,false
A-100,2025-10,false
A-100,2025-11,false
A-100,2025-12,false
A-100,2026-01,false
A-100,2026-02,false
A-100,2026-03,false
A-100,2026-04,false
A-100,2026-05,false
A-100,2026-06,false
A-100,2026-07,false
A-100,2026-08,false
A-100,2026-09,false
A-200,2024-10,false
A-200,2024-11,false
A-200,2024-12,false
A-200,2025-01,false
A-200,2025-02,false
A-200,2025-03,false
A-200,2025-04,false
A-200,2025-05,false
A-200,2025-06,false
A-200,2025-07,false
A-200,2025-08,false
A-200,2025-09,false
A-200,2025-10,false
A-200,2025-11,false
A-200,2025-12,false
A-200,2026-01,false
A-200,2026-02,false
A-200,2026-03,false
A-200,2026-04,false
A-200,2026-05,false
A-200,2026-06,false
A-200,2026-07,false
A-200,2026-08,false
A-200,2026-09,false
A-300,2024-10,false
A-300,2024-11,false
A-300,2024-12,false
A-300,2025-01,false
A-300,2025-02,false
A-300,2025-03,false
A-300,2025-04,false
A-300,2025-05,false
A-300,2025-06,false
A-300,2025-07,false
A-300,2025-08,false
A-300,2025-09,false
A-300,2025-10,false
A-300,2025-11,false
A-300,2025-12,false
A-300,2026-01,false
A-300,2026-02,false
A-300,2026-03,false
A-300,2026-04,false
A-300,2026-05,false
A-300,2026-06,false
A-300,2026-07,false
A-300,2026-08,false
A-300,2026-09,false
A-400,2024-10,false
A-400,2024-11,false
A-400,2024-12,false
A-400,2025-01,false
A-400,2025-02,false
A-400,2025-03,false
A-400,2025-04,false
A-400,2025-05,false
A-400,2025-06,false
A-400,2025-07,false
A-400,2025-08,false
A-400,2025-09,false
A-400,2025-10,false
A-400,2025-11,false
A-400,2025-12,false
A-400,2026-01,false
A-400,2026-02,false
A-400,2026-03,false
A-400,2026-04,true
A-400,2026-05,true
A-400,2026-06,false
A-400,2026-07,false
A-400,2026-08,false
A-400,2026-09,false
A-500,2024-10,false
A-500,2024-11,false
A-500,2024-12,false
A-500,2025-01,false
A-500,2025-02,false
A-500,2025-03,false
A-500,2025-04,false
A-500,2025-05,false
A-500,2025-06,false
A-500,2025-07,false
A-500,2025-08,false
A-500,2025-09,false
A-500,2025-10,false
A-500,2025-11,false
A-500,2025-12,false
A-500,2026-01,false
A-500,2026-02,false
A-500,2026-03,false
A-500,2026-04,false
A-500,2026-05,false
A-500,2026-06,false
A-500,2026-07,false
A-500,2026-08,false
A-500,2026-09,false
