date,sku,qty,price,customer_id,warehouse
2024-10-01,A-100,31,100.0,CUST-001,WH-01
2024-10-01,A-100,26,100.0,CUST-002,WH-01
2024-10-01,A-100,22,100.0,CUST-017,WH-01
2024-10-01,A-100,21,100.0,CUST-018,WH-01
2024-11-01,A-100,21,100.0,CUST-005,WH-01
2024-11-01,A-100,24,100.0,CUST-008,WH-01
2024-11-01,A-100,25,100.0,CUST-015,WH-01
2024-11-01,A-100,27,100.0,CUST-016,WH-01
2024-12-01,A-100,29,100.0,CUST-001,WH-01
2024-12-01,A-100,30,100.0,CUST-006,WH-01
2024-12-01,A-100,19,100.0,CUST-009,WH-01
2024-12-01,A-100,28,100.0,CUST-018,WH-01
2025-01-01,A-100,34,100.0,CUST-001,WH-01
2025-01-01,A-100,16,100.0,CUST-009,WH-01
2025-01-01,A-100,16,100.0,CUST-016,WH-01
2025-01-01,A-100,24,100.0,CUST-017,WH-01
2025-02-01,A-100,19,100.0,CUST-003,WH-01
2025-02-01,A-100,26,100.0,CUST-005,WH-01
2025-02-01,A-100,23,100.0,CUST-006,WH-01
2025-02-01,A-100,30,100.0,CUST-020,WH-01
2025-03-01,A-100,24,100.0,CUST-008,WH-01
2025-03-01,A-100,28,100.0,CUST-012,WH-01
2025-03-01,A-100,29,100.0,CUST-016,WH-01
2025-03-01,A-100,21,100.0,CUST-017,WH-01
2025-04-01,A-100,33,100.0,CUST-004,WH-01
2025-04-01,A-100,20,100.0,CUST-014,WH-01
2025-04-01,A-100,27,100.0,CUST-016,WH-01
2025-04-01,A-100,25,100.0,CUST-019,WH-01
2025-05-01,A-100,23,100.0,CUST-002,WH-01
2025-05-01,A-100,22,100.0,CUST-003,WH-01
2025-05-01,A-100,34,100.0,CUST-007,WH-01
2025-05-01,A-100,23,100.0,CUST-012,WH-01
2025-06-01,A-100,32,100.0,CUST-003,WH-01
2025-06-01,A-100,19,100.0,CUST-005,WH-01
2025-06-01,A-100,29,100.0,CUST-009,WH-01
2025-06-01,A-100,20,100.0,CUST-020,WH-01
2025-07-01,A-100,26,100.0,CUST-008,WH-01
2025-07-01,A-100,20,100.0,CUST-014,WH-01
2025-07-01,A-100,35,100.0,CUST-016,WH-01
2025-07-01,A-100,28,100.0,CUST-020,WH-01
2025-08-01,A-100,21,100.0,CUST-001,WH-01
2025-08-01,A-100,24,100.0,CUST-008,WH-01
2025-08-01,A-100,24,100.0,CUST-010,WH-01
2025-08-01,A-100,26,100.0,CUST-016,WH-01
2025-09-01,A-100,22,100.0,CUST-003,WH-01
2025-09-01,A-100,19,100.0,CUST-012,WH-01
2025-09-01,A-100,32,100.0,CUST-015,WH-01
2025-09-01,A-100,25,100.0,CUST-020,WH-01
2025-10-01,A-100,24,100.0,CUST-002,WH-01
2025-10-01,A-100,26,100.0,CUST-006,WH-01
2025-10-01,A-100,25,100.0,CUST-010,WH-01
2025-10-01,A-100,21,100.0,CUST-017,WH-01
2025-11-01,A-100,25,100.0,CUST-008,WH-01
2025-11-01,A-100,28,100.0,CUST-011,WH-01
2025-11-01,A-100,20,100.0,CUST-016,WH-01
2025-11-01,A-100,27,100.0,CUST-019,WH-01
2025-12-01,A-100,22,100.0,CUST-005,WH-01
2025-12-01,A-100,23,100.0,CUST-008,WH-01
2025-12-01,A-100,26,100.0,CUST-009,WH-01
2025-12-01,A-100,24,100.0,CUST-012,WH-01
2026-01-01,A-100,17,100.0,CUST-003,WH-01
2026-01-01,A-100,28,100.0,CUST-005,WH-01
2026-01-01,A-100,24,100.0,CUST-007,WH-01
2026-01-01,A-100,28,100.0,CUST-019,WH-01
2026-02-01,A-100,24,100.0,CUST-003,WH-01
2026-02-01,A-100,23,100.0,CUST-004,WH-01
2026-02-01,A-100,30,100.0,CUST-011,WH-01
2026-02-01,A-100,31,100.0,CUST-017,WH-01
2026-03-01,A-100,30,100.0,CUST-001,WH-01
2026-03-01,A-100,18,100.0,CUST-003,WH-01
2026-03-01,A-100,24,100.0,CUST-014,WH-01
2026-03-01,A-100,20,100.0,CUST-016,WH-01
2026-04-01,A-100,17,100.0,CUST-003,WH-01
2026-04-01,A-100,29,100.0,CUST-004,WH-01
2026-04-01,A-100,25,100.0,CUST-008,WH-01
2026-04-01,A-100,29,100.0,CUST-016,WH-01
2026-05-01,A-100,27,100.0,CUST-002,WH-01
2026-05-01,A-100,24,100.0,CUST-004,WH-01
2026-05-01,A-100,25,100.0,CUST-010,WH-01
2026-05-01,A-100,24,100.0,CUST-016,WH-01
2026-06-01,A-100,29,100.0,CUST-001,WH-01
2026-06-01,A-100,27,100.0,CUST-005,WH-01
2026-06-01,A-100,14,100.0,CUST-009,WH-01
2026-06-01,A-100,20,100.0,CUST-016,WH-01
2026-07-01,A-100,23,100.0,CUST-001,WH-01
2026-07-01,A-100,22,100.0,CUST-004,WH-01
2026-07-01,A-100,22,100.0,CUST-013,WH-01
2026-07-01,A-100,28,100.0,CUST-020,WH-01
2026-08-01,A-100,27,100.0,CUST-001,WH-01
2026-08-01,A-100,28,100.0,CUST-008,WH-01
2026-08-01,A-100,26,100.0,CUST-011,WH-01
2026-08-01,A-100,14,100.0,CUST-020,WH-01
2026-09-01,A-100,24,100.0,CUST-002,WH-01
2026-09-01,A-100,20,100.0,CUST-005,WH-01
2026-09-01,A-100,29,100.0,CUST-017,WH-01
2026-09-01,A-100,23,100.0,CUST-018,WH-01
2024-10-01,A-200,10,100.0,CUST-006,WH-01
2024-10-01,A-200,10,100.0,CUST-015,WH-01
2024-10-01,A-200,17,100.0,CUST-018,WH-01
2024-10-01,A-200,16,100.0,CUST-019,WH-01
2024-11-01,A-200,39,100.0,CUST-002,WH-01
2024-11-01,A-200,39,100.0,CUST-003,WH-01
2024-11-01,A-200,34,100.0,CUST-005,WH-01
2024-11-01,A-200,28,100.0,CUST-012,WH-01
2024-12-01,A-200,39,100.0,CUST-003,WH-01
2024-12-01,A-200,29,100.0,CUST-009,WH-01
2024-12-01,A-200,39,100.0,CUST-012,WH-01
2024-12-01,A-200,35,100.0,CUST-020,WH-01
2025-01-01,A-200,41,100.0,CUST-003,WH-01
2025-01-01,A-200,49,100.0,CUST-004,WH-01
2025-01-01,A-200,27,100.0,CUST-006,WH-01
2025-01-01,A-200,42,100.0,CUST-007,WH-01
2025-02-01,A-200,14,100.0,CUST-001,WH-01
2025-02-01,A-200,12,100.0,CUST-004,WH-01
2025-02-01,A-200,13,100.0,CUST-012,WH-01
2025-02-01,A-200,14,100.0,CUST-014,WH-01
2025-03-01,A-200,19,100.0,CUST-005,WH-01
2025-03-01,A-200,17,100.0,CUST-007,WH-01
2025-03-01,A-200,17,100.0,CUST-008,WH-01
2025-03-01,A-200,11,100.0,CUST-015,WH-01
2025-04-01,A-200,13,100.0,CUST-009,WH-01
2025-04-01,A-200,12,100.0,CUST-014,WH-01
2025-04-01,A-200,13,100.0,CUST-015,WH-01
2025-04-01,A-200,14,100.0,CUST-018,WH-01
2025-05-01,A-200,12,100.0,CUST-007,WH-01
