sku,name,supplier,lead_time_days,stock,in_transit,pack_size,category,unit,price_kzt
A-100,ВВГнг-LS 3x2.5 бухта 100 м,SUP-01,30,55,0,1,Кабель,бухта,145000
A-200,Удлинитель садовый 20 м IP44,SUP-03,45,45,20,1,Розетки,шт,18500
A-300,Светильник LED 36 Вт IP65,SUP-02,30,35,0,1,Светотехника,шт,8900
A-400,Автомат ВА47-29 3P 25А,SUP-03,30,20,0,1,Автоматика,шт,7200
A-500,Щит распределительный ЩРН-24,SUP-03,21,10,0,1,Щиты,шт,24500
A-600,ВВГнг-LS 3x1.5 бухта 100 м,SUP-01,30,40,0,1,Кабель,бухта,98000
A-700,ПВС 2x1.5 бухта 100 м,SUP-01,30,35,0,1,Кабель,бухта,76000
A-800,Прожектор LED 50 Вт IP65,SUP-02,30,25,0,1,Светотехника,шт,11200
A-900,Лампа LED E27 11 Вт,SUP-02,21,80,0,1,Светотехника,шт,1150
A-1000,Автомат ВА47-29 1P 16А,SUP-03,21,60,0,1,Автоматика,шт,1450
A-1100,УЗО 2P 40А 30мА,SUP-03,30,25,0,1,Автоматика,шт,9800
A-1200,Щит ЩРН-12,SUP-03,21,18,0,1,Щиты,шт,14800
